RAM,CPU,IP ADDRESS,MAC ADDRESS,Battery% of your phone at present,INTERNAL STORAGE(available)
4,,,,,4
4,1.8,192.168.31.229,70:bb:e9:74:e5:f6,8,64
2,,,,,16
4,2.2,10.226.30.164,,,64
6,2.45,192.168.0.37,94:65:2d:eb:89:53,,64
4,2.2,10.226.30.164,,,64
4,2,192.168.33.4,d8:6c:02:b3:5c:0b,,64
4,2,192.168.0.184,00:ec:0a:2b:4a:2b,,32
1,1.3,192.168.2.112,60:2E:02:C4:3E:E2,,8
3,1.6,100.86.247.148,60:8E:08:43:38:C2,,64
3,1.8,,,,32
4,1,123.34.4.3,,60,10
6,1.6,100.65.219.215,54:B8:02:15:34:61,63,64
8,2.8,192.168.5.4,64:a2:f9:c4:2c:18,34,256
4,1.5,56.68.112.45,BC:D1:1F:37:18:C4,64,16
4,2,10.23.254.51,d8:32:e3:e8:8d:54,7,2.09
4,2.9,,,,64
8,2.2,103.92.41.37,bc:9F:EF:E9:4F:2E,50,32
4,1.8,,,,64
4,3.4,,,,64
6,1.3,25.40.130.96,80:CE:F9:7c:CB:1B,25,64
3,1.4,25 .98.215.193,38:A4:ed:5d:f9:13,72,1.7
3,1.4,56.69.11.11,70:5A:AC:43:17:DA,96,2.9
,,25.73.215.125,5C:99:60:15:3A:A6,97,
3,1.8,100.113.188.100,38:a4:ed:55:5b:63,78,1
4,1.8,192.168.29.156,08:25:25:40:6a:bc,31,11.41
4,2,100.81. 235. 107,04:d1:3a:02:7b:b3,31,9.46
6,2.8,,64:a2:f8:50:70:4f,63,5.85
,,25.98.101.203,7C:91:22:8B:19:22,61,7.68
4,2,100.81. 235.107,04:d1:3a:02:7b:b3,41,
3,1.4,25.122.125.15,4c:49:e3:7c:74:db,83,1.68
4,1.8,25.180.231.106,70:5A:AC:67:99:A4,56,37.9
4,2.2,25.133.238.197,70:5e:55:65:dc:55,52,12.6
3,2.2,25.33.229.26,ec:01:ee:e8:ae:82,56,486
2,1.8,56.133.192.16,BC:D1:1F:8B:05:4D,49,7.18
4,2,10.140.25.227,88:b4:a6:23:fa:9f,43,0.98
6,2.45,56.129.213.154,94:65:2d:8b:fd:2d,80,10.9
4,1.8,100.81.5.252,FC:AA:B6:6A:61:22,46,30.2
3,2.3,100.86.99.163,30:a8:db:9c:86:c6,41,0.53
2,1.8,100.73.182.110,b4:cb:57:a4:e9:ef,65,1.45
3,1.3,100.79.76.231,34:78:d7:b9:1a:18,12,0.96
8,2.84,10.114.248.61,02:00:00:00:00:00,33,25.6
4,1.8,10.244.248.145,d0:04:01:5e:a1:f4,54,19.37
3,1.8,25.37.152.24,38:e6:0a:05:b7:79,42,4.81
4,2.2,25.63.209.226,02:00:00:00:00:00,42,33.75
4,1.8,10.141.127.72,80:58:f8:68:bc:00,85,4.98
3,2.1,56.97.168.94,70:5e:55:33:c6:85,33,5.53
4,2,100.67.161.157,70:b7:aa:4a:55:55,37,1.53
6,2.8,,,57,10
8,2.8,,,57,66.01
2,,100.66.62.74,60:45:cb:58:f8:61,44,47
,,,,97,
4,2,25.1.69.105,18:f0:e4:b4:be:2b,71,64
8,2.8,192.168.1.128,21:a5:0v:af:1c:80,80,36
6,2.45,192.168.0.37,94:65:2d:ef:b0:5c,100,64
4,2.2,192.168.1.2,34:12:F9:7D:2D:39,83,35
2,1.8,192.168.1.103,5C:F7:E6:A8:50:F7,99,13.6
3,1.6,192.168.0.38,5c:99:60:49:E7:48,42,8.8
6,2.2,100.69.133.68,0C:E0:DC:C2:EA:EF,48,41.4
8,2.8,192.168.2.7,70:b7:aa:39:24:77,93,33.61
4,1.8,192.168.31.196,a4:12:32:cd:3a:f7,65,5.71
8,,103.21.127.79,,16,512
4,2.45,192.168.0.102,B4:F7:A1:E1:C0:8B,35,128
8,2.45,198.168.0.101,94:64:2d:95:ad:76,83,128
4,2.2,,,35,17
4,,192.168.0.101,a8:96:75:60:16:2a,97,64
8,,25.123.154.9,95:09:cf:9e:2e:fe,82,256
8,2.85,,,70,256
,,,,29,566
6,2.8,192.168.0.100,70:bb:e9:35:02:b8,70,84.5
16,,25.89.44.144,BC:D1:1F:B5:F9:99,88,8
3,,10.88.16.113,80:58:f8:4c:64:15,78,10
3,,10.88.16.113,80:58:f8:4c:64:15,78,10
3,,10.88.16.113,80:58:f8:4c:64:15,61,10
8,,103.21.127.79,,16,512
6,2.36,25.149.252.239,38:37:8B:OE:16:07,17,64
6,2.02,100.71.213.84,b4:c4:fc:84:84:f4,44,84.5
6,2.8,192.168.31.206,20:a6:0c:3a:a1:9d,11,2.18
4,,,,38,1.69
6,2.02,,,90,32
4,2.39,192.168.88.101,90:DD:5D:16:52:A1,28,212
8,2.8,100.119.68.178,98:09:cf:15:15:aa,40,128
4,2.2,192.168. 29.155,14:D1:69:DC:99:C8,38,64
6,0.79,,,30,64
3,1.8,56.107.52.245,74:23:44:39:d4:b5,49,2.51
2,1.85,,,53,16
3,1.5,192.168.100.5,48:88:ca:eb:7c:d3:,99,3.56
2,1.84,192.168.0.11,48:3B:38:B0:06:4F,64,64
4,2.2,,20:a6:0c:8d:55:34,40,51
6,2.8,100.83.84.165,20:a6:0c:3a:73:89,28,64
3,1.8,56.83.174.217,74:23:44:3c:4f:97,78,1
3,2.36,100.99.145.134,A0:57:E3:46:0B:96,26,2.15
6,2.2,100.89.161.193,70:5e:55:e1:40:9f,67,128
3,1.4,100:78:167:157,4c:49:e3:67:cc:11,15,1.3
4,2.3,192.168.18.62,50:29:f5:44:bc:2d,6,64
2,1.8,25.178.193.160,50:C8:E5:BE:3C:7C,30,9.39
4,1.8,56.80.249.246,30:4b:07:68:fe:17,20,24.6
6,2.48,,98:09:cf:7a:54:bd,81,87.14
6,,10.94.133.137,ac:57:75:5a:3a:3e,49,64
4,2,100.81.224.90,,32,64
3,,25.45.123.242,60:8E:08:02:FA:E9,84,9.1
6,1.8,100.78.132.110,64:a2:f9:d0:56:9f,91,78.02
2,,,B4:9C:DF:39:89:D0,44,1.3
3,1.8,10.106.53.159,ac:c1:ee:b0:e8:ad,75,250
4,2,100.68.214.211,f4:f5:db:8a:8e:e3,44,15.32
4,2.39,192.168.88.101,90:DD:5D:16:52:A1,28,212
4,1.8,100.70.48.62,d8:32:e3:5e:A5:b6,13,64
4,1.8,,80:ad:16:ae:69:fa,94,8.19
4,,,,48,64
,,,,66,
4,2,,,65,5.44
4,1.4,,,41,39.38
2,1.4,,e0:62:67:1b:d9:79,97,761.65
